,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_01.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_01_01_fail.txt,False,29.968227,
1,1,1,2,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_02.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-01_02_success.txt,True,4.89639,../../src/logs/20250607_044559_gpt_cot/갑작스러운보행자침입하는상황_01_01_02.mp4
2,1,1,3,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_03.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_01_03_fail.txt,False,10.751191,
3,1,1,4,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_04.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-01_04_success.txt,True,3.798723,../../src/logs/20250607_044559_gpt_cot/짙은안개로인한시야확보불가상황_01_01_04.mp4
4,1,1,5,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_05.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_01_05_fail.txt,False,14.81128,
5,1,1,6,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_06.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_01_06_fail.txt,False,7.297098,
6,1,1,7,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_07.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-01_07_success.txt,True,10.045594,../../src/logs/20250607_044559_gpt_cot/도로중간에블랙아이스가존재하는상황_01_01_07.mp4
7,1,1,8,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_08.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-01_08_success.txt,True,6.91577,../../src/logs/20250607_044559_gpt_cot/중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_09.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_01_09_fail.txt,False,14.819894,
9,1,1,10,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-01_10.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_01_10_fail.txt,False,11.659717,
10,1,2,1,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-02_01.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_02_01_fail.txt,False,28.15198,
11,1,2,2,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-02_02.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-02_02_success.txt,True,7.241349,../../src/logs/20250607_044559_gpt_cot/갑작스럽게보행자가침입하여앞차량한대가급정거하는상황_01_02_02.mp4
12,1,2,3,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-02_03.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-02_03_success.txt,True,6.256762,../../src/logs/20250607_044559_gpt_cot/눈으로인해도로위장애물존재상황_01_02_03.mp4
13,1,2,4,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-02_04.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01-02_04_success.txt,True,4.99848,../../src/logs/20250607_044559_gpt_cot/비가많이내리고2초뒤부터뒷차량이내차보다고속주행하는상황_01_02_04.mp4
14,1,2,5,o4-mini,cot,../../src/esmini/20250607_044559_o4-mini_cot_01-02_05.xosc,../../src/logs/20250607_044559_gpt_cot/log_20250607_044559_o4-mini_cot_01_02_05_fail.txt,False,13.523233,
